"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Biomass","8513.80",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Energy storage","n/e",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Fossil Brown coal/Lignite","17692.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Fossil Coal-derived gas","1257.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Fossil Gas","31878.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Fossil Hard coal","18559.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Fossil Oil","4083.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Fossil Oil shale","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Fossil Peat","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Geothermal","55.61",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Hydro Pumped Storage","9379.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Hydro Run-of-river and poundage","3737.25",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Hydro Water Reservoir","1345.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Marine","0.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Nuclear","4056.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Other","1706.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Other renewable","384.15",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Solar","63366.03",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Waste","1933.00",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Wind Offshore","8128.82",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","Wind Onshore","57741.55",""
"01/01/2023 - 01/01/2024","2023","BZN|DE-LU","","","233815.21"
